Borough,Neighborhood,Latitude,Longitude
Bronx,Bronx,40.89470517661,-73.84720052054902
Bronx,Bronx,40.87429419303012,-73.82993910812398
Bronx,Bronx,40.887555677350775,-73.82780644716412
Bronx,Bronx,40.89543742690383,-73.90564259591682
Bronx,Bronx,40.890834493891305,-73.9125854610857
Bronx,Bronx,40.88168737120521,-73.90281798724604
Manhattan,Manhattan,40.87655077879964,-73.91065965862981
Bronx,Bronx,40.89827261213805,-73.86731496814176
Bronx,Bronx,40.87722415599446,-73.8793907395681
Bronx,Bronx,40.88103887819211,-73.85744642974207
Bronx,Bronx,40.866858107252696,-73.83579759808117
Bronx,Bronx,40.85741349808865,-73.85475564017999
Bronx,Bronx,40.84724670491813,-73.78648845267413
Bronx,Bronx,40.870185164975325,-73.8855121841913
Bronx,Bronx,40.85572707719664,-73.9104159619131
Bronx,Bronx,40.84789792606271,-73.91967159119565
Bronx,Bronx,40.86099679638654,-73.89642655981623
Bronx,Bronx,40.84269615786053,-73.88735617532338
Bronx,Bronx,40.83947505672653,-73.87774474910545
Bronx,Bronx,40.836623010706056,-73.9261020935813
Bronx,Bronx,40.819754370594936,-73.90942160757436
Bronx,Bronx,40.80623874935177,-73.91609987487575
Bronx,Bronx,40.801663627756206,-73.91322139386135
Bronx,Bronx,40.81509904545822,-73.8957882009446
Bronx,Bronx,40.80972987938709,-73.88331505955291
Bronx,Bronx,40.82359198585534,-73.90150648943059
Bronx,Bronx,40.821012197914015,-73.86574609554924
Bronx,Bronx,40.80655112003589,-73.85414416189266
Bronx,Bronx,40.81510925804005,-73.81635002158441
Bronx,Bronx,40.844245936947374,-73.8240992675385
Bronx,Bronx,40.837937822267286,-73.85600310535783
Bronx,Bronx,40.8406194964327,-73.84219407604444
Bronx,Bronx,40.84360847124718,-73.8662991807561
Bronx,Bronx,40.847549063536334,-73.85040178030421
Bronx,Bronx,40.85727710073895,-73.88845196134804
Bronx,Bronx,40.88139497727086,-73.91719048210393
Bronx,Bronx,40.90854282950666,-73.90453054908927
Bronx,Bronx,40.85064140940335,-73.8320737824047
Bronx,Bronx,40.82657951686922,-73.82620275994073
Bronx,Bronx,40.821986118163494,-73.81388514428619
Bronx,Bronx,40.819014376988314,-73.84802729582735
Bronx,Bronx,40.87137078192371,-73.86332361652777
Bronx,Bronx,40.86296562477998,-73.84161194831223
Bronx,Bronx,40.83428380733851,-73.91558941773444
Bronx,Bronx,40.82977429787161,-73.85053524451935
Bronx,Bronx,40.88456130303732,-73.84808271877168
Brooklyn,Brooklyn,40.625801065010656,-74.03062069353813
Brooklyn,Brooklyn,40.61100890202044,-73.99517998380729
Brooklyn,Brooklyn,40.64510294925429,-74.01031618527784
Brooklyn,Brooklyn,40.7302009848647,-73.95424093127393
Brooklyn,Brooklyn,40.59526001306593,-73.97347087708445
Brooklyn,Brooklyn,40.57682506566604,-73.96509448785336
Brooklyn,Brooklyn,40.58689012678384,-73.94318640482979
Brooklyn,Brooklyn,40.61443251335098,-73.95743840559939
Brooklyn,Brooklyn,40.63632589026677,-73.95840106533903
Brooklyn,Brooklyn,40.67082917695294,-73.94329119073582
Brooklyn,Brooklyn,40.64171776668961,-73.93610256185836
Brooklyn,Brooklyn,40.642381958003526,-73.98042110559474
Brooklyn,Brooklyn,40.65694583575104,-73.98007340430172
